InputID,TargetID,Distance
n151814742,"0",120497.613644635
n151814742,"1",120497.613644635
n151819682,"0",148026.722857429
n151819682,"1",148026.722857429
n151824977,"0",107421.536451888
n151824977,"1",107421.536451888
n151837443,"1",23603.793140104
n151837443,"0",23603.793140104
n151840248,"0",28016.6728048031
n151840248,"1",28016.6728048031
n151840248,"1",28016.6728048031
n151859136,"0",14621.9705497007
n151859136,"1",14621.9705497007
n151865341,"0",39792.2936421956
n151865341,"1",39792.2936421956
n151868547,"0",139315.328148748
n151868547,"1",139315.328148748
n151874436,"1",94579.3927257447
n151874436,"0",94579.3927257447
n151874493,"0",107123.750438505
n151874493,"1",107123.750438505
n151874810,"1",227706.373706212
n151874810,"0",227706.373706212
n151877085,"1",17527.3613073389
n151877085,"1",17527.3613073389
n151877085,"0",17527.3613073389
n151877085,"0",17527.3613073389
n151887149,"0",30656.7136575618
n151887149,"1",30656.7136575618
n151896886,"0",143218.744438871
n151896886,"1",143218.744438871
n151896955,"0",115568.282574217
n151896955,"1",115568.282574217
n151905181,"1",33434.3785418726
n151905181,"1",33434.3785418726
n151905181,"0",33434.3785418726
n151905181,"0",33434.3785418726
n151926257,"1",18611.312985998
n151926257,"0",18611.312985998
n151927943,"1",142701.56031467
n151927943,"0",142701.56031467
n151927943,"1",142701.56031467
n151927943,"0",142701.56031467
n151932903,"1",122674.350626916
n151932903,"0",122674.350626916
n151932928,"1",9242.73626851803
n151932928,"1",9242.73626851803
n151932928,"0",9242.73626851803
n151932928,"0",9242.73626851803
n151933794,"1",49621.768263926
n151933794,"0",49621.768263926
n151934180,"0",12762.0488408591
n151934180,"1",12762.0488408591
n151945818,"0",81930.4069585603
n151945818,"1",81930.4069585603
n151949012,"0",25078.4923449575
n151949012,"1",25078.4923449575
n151953828,"0",99662.94408501
n151953828,"1",99662.94408501
n151957270,"1",160146.658228626
n151957270,"0",160146.658228626
n151958464,"0",42614.51947188
n151958464,"1",42614.51947188
n151960875,"0",26526.1214516797
n151960875,"1",26526.1214516797
n330764654,"1",14805.6001929591
n330764654,"0",14805.6001929591
n986159455,"1",117090.902956462
